RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1,15634602,Hargrave,619.0,france,FEMALE,42.0,2,0.0,1,Yes,Yes,101348.88,Yess,Yes,2,diamond,464
2,15647311,Hill,608.0, spain ,FEMALE,41.0,1,83807.86,1,No,Yes,112542.58,N0,Yes,3,diamond,456
3,15619304,Onio,502.0,france,FEMALE,42.0,8,159660.8,3,Yes,No,113931.57,Yess,Yes,3,diamond,377
4,15701354,Boni,699.0,france,FEMALE,39.0,1,0.0,2,No,No,93826.63,N0,No,5, Gold ,350
5,15737888,Mitchell,850.0, spain ,FEMALE,43.0,2,125510.82,1,Yes,Yes,79084.1,N0,No,5, Gold ,425
6,15574012,Chu,645.0, spain ,M,44.0,8,113755.78,2,Yes,No,149756.71,Yess,Yes,5,diamond,484
7,15592531,Bartlett,822.0,france,M,50.0,7,0.0,2,Yes,Yes,10062.8,N0,No,2,SILVR,206
8,15656148,Obinna,376.0,GERMANY,FEMALE,29.0,4,115046.74,4,Yes,No,119346.88,Yess,Yes,2,diamond,19.0
9,15792365,He,501.0,france,M,44.0,4,142051.07,2,No,Yes,74940.5,N0,No,3, Gold ,251
10,15592389,H?,684.0,france,M,27.0,2,134603.88,1,Yes,Yes,71725.73,N0,No,3, Gold ,342
11,15767821,Bearce,528.0,france,M,31.0,6,102016.72,2,No,No,80181.12,N0,No,3, Gold ,264
12,15737173,Andrews,497.0, spain ,M,24.0,3,0.0,2,Yes,No,76390.01,N0,No,3, Gold ,249
13,15632264,Kay,355.0,france,FEMALE,34.0,10,19.0,2,Yes,No,26260.98,N0,No,3,SILVR,119
14,15691483,Chin,549.0,france,FEMALE,25.0,5,543.0,2,No,No,190857.79,N0,No,3,Platinum,549
15,15600882,Scott,635.0, spain ,FEMALE,35.0,7,0.0,2,Yes,Yes,65951.65,N0,No,2, Gold ,318
16,15643966,Goforth,616.0,GERMANY,M,45.0,3,143129.41,2,No,Yes,64327.26,N0,No,5, Gold ,308
17,15737452,Romeo,653.0,GERMANY,M,58.0,1,132602.88,1,Yes,No,5097.67,Yess,No,2,SILVR,Yes63
18,15788218,Henderson,549.0, spain ,FEMALE,24.0,9,0.0,2,Yes,Yes,14406.41,N0,No,3,SILVR,544
19,15661507,Muldrow,587.0, spain ,M,45.0,6,0.0,1,No,No,,N0,No,3,Platinum,732
20,15568982,Hao,726.0,france,FEMALE,24.0,6,0.0,2,Yes,Yes,54724.03,N0,No,4, Gold ,477
21,15577657,McDonald,732.0,france,M,41.0,8,0.0,2,Yes,Yes,170886.17,N0,No,3,Platinum,568
22,15597945,Dellucci,636.0, spain ,FEMALE,32.0,8,0.0,2,Yes,No,138555.46,N0,No,2,diamond,336
23,15699309,Gerasimov,510.0, spain ,FEMALE,38.0,4,0.0,1,Yes,No,118913.53,Yess,Yes,2,diamond,887
24,15725737,Mosman,669.0,france,M,46.0,3,799.0,2,No,Yes,8487.75,N0,No,2,SILVR,665
25,15625047,Yen,1269.0,france,FEMALE,38.0,5,0.0,1,Yes,Yes,187616.16,N0,No,3,Platinum,225
26,15738191,Maclean,577.0,france,M,25.0,3,0.0,2,No,Yes,124508.29,N0,No,3,Platinum,659
27,15736816,Young,756.0,GERMANY,M,36.0,2,136815.64,1,Yes,Yes,170041.95,N0,No,5,diamond,236
28,15700772,Nebechi,571.0,france,M,44.0,9,0.0,2,No,No,38433.35,N0,No,4,Platinum,448
29,15728693,McWilliams,574.0,GERMANY,FEMALE,43.0,3,141349.43,1,Yes,Yes,100187.43,N0,No,5,diamond,499
30,15656300,Lucciano,411.0,france,M,29.0,0,59697.17,2,Yes,Yes,53483.21,N0,No,2, Gold ,343
31,15589475,Azikiwe,591.0, spain ,FEMALE,39.0,3,262.0,3,Yes,No,140469.38,Yess,Yes,3,diamond,298
32,15706552,Odinakachukwu,533.0,france,M,36.0,7,85311.7,1,No,Yes,156731.91,N0,No,5,SILVR,628
33,15750181,Sanderson,262.0,GERMANY,M,41.0,9,110112.54,2,No,No,81898.81,N0,No,3, Gold ,611
34,15659428,Maggard,520.0, spain ,FEMALE,42.0,6,0.0,2,Yes,Yes,38.0,N0,No,2,SILVR,922
35,15732963,Clements,722.0, spain ,FEMALE,29.0,9,0.0,2,Yes,Yes,142033.07,N0,No,5,Platinum,276
36,15794171,Lombardo,475.0,france,FEMALE,45.0,0,134264.04,1,Yes,No,27822.99,Yess,Yes,1,diamond,877
37,15788448,Watson,490.0, spain ,M,31.0,3,145260.23,1,No,Yes,114066.77,N0,No,4,SILVR,471
38,15729599,Lorenzo,804.0, spain ,M,33.0,7,76548.6,1,No,Yes,98453.45,N0,No,2, Gold ,994
39,15717426,Armstrong,850.0,france,M,36.0,7,0.0,1,Yes,Yes,40812.9,N0,No,3, Gold ,944
40,15585768,Cameron,582.0,GERMANY,M,41.0,6,70349.48,2,No,Yes,178074.04,N0,No,5, Gold ,419
41,15619360,Hsiao,472.0, spain ,M,40.0,4,0.0,1,Yes,No,70154.22,N0,No,4,diamond,545
42,15738148,Clarke,465.0,france,FEMALE,51.0,8,122522.32,1,No,No,181297.65,Yess,Yes,5,SILVR,828
43,15687946,Osborne,556.0,france,FEMALE,61.0,2,117419.35,1,Yes,Yes,94153.83,N0,No,3,Platinum,789
44,15755196,Lavine,834.0,france,FEMALE,49.0,2,131394.56,1,No,No,194365.76,Yess,Yes,2, Gold ,567
45,15684171,Bianchi,660.0, spain ,FEMALE,61.0,5,101.0,1,Yes,Yes,158338.39,N0,No,1,Platinum,884
46,15754849,Tyler,776.0,GERMANY,FEMALE,32.0,4,109421.13,2,Yes,Yes,126517.46,N0,No,1,SILVR,296
47,15602280,Martin,829.0,GERMANY,FEMALE,27.0,9,38.0,1,Yes,Yes,119708.21,Yess,Yes,3,diamond,779
48,15771573,Okagbue,637.0,GERMANY,FEMALE,39.0,9,137843.8,1,Yes,Yes,117622.8,Yess,Yes,1,SILVR,730
49,15766205,Yin,550.0,GERMANY,M,,2,103391.38,1,No,Yes,90878.13,N0,No,3,diamond,960
